자치구명,1건이상차량대수,1건이상금액,2건이상차량대수,2건이상금액,3건이상차량대수,3건이상금액,4건이상차량대수,4건이상금액,5건이상차량대수,5건이상금액
강서구,4872,1601453350,2254,1274454980,1499,1088382000,1051,925675930,749,794909250
금정구,3669,996563900,1677,781077310,1090,653130330,742,538356530,513,432957910
기장군,3572,1082851500,1608,849115630,996,692639520,680,579854830,471,476722210
남구,4674,1381911760,1975,1052512730,1318,890092510,872,714983170,605,584534760
동구,2060,463018400,774,324450710,418,234584020,268,177092100,172,134134610
동래구,4484,1375711480,1991,1066653820,1259,880502270,904,730518240,608,599895460
부산진구,6111,1396240740,2220,930043860,1258,694108130,726,488239690,465,374068200
북구,3503,836341330,1368,572563300,751,428960540,340,257758320,199,193486360
사상구,3962,850678420,1676,585299130,843,406104270,517,279959170,158,116179480
사하구,5909,1312315140,2525,915091160,1475,653553880,893,425792910,533,271172950
서구,1602,394245910,722,285198270,386,211338390,255,161792000,141,104634590
수영구,3600,1007612850,1467,750205780,902,602656530,603,479315930,460,408338270
연제구,3978,1168037420,1796,899319680,1153,745120080,777,616943840,561,522236720
영도구,1285,320955580,536,234141840,316,181474020,213,146545370,132,108558070
중구,1069,248711210,478,184698660,296,144259340,188,108617350,94,66940340
해운대구,8216,2105285870,3181,1436203090,1956,1141818760,1212,850193220,781,644961290